year,univ_cd,deungrok_gb,namyeo_gb,inwon_euiye_11,inwon_euiye_12,inwon_euiye_21,inwon_euiye_22,inwon_euihak_11,inwon_euihak_12,inwon_euihak_21,inwon_euihak_22,inwon_euihak_31,inwon_euihak_32,inwon_euihak_41,inwon_euihak_42,inwon_tot,inwon_woiguk
2019-08-29 18:19:20.328000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,,,,,,,,,,,,,
2019-08-27 10:32:38.095000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,,,,,,,,,,,,,
2019-08-29 18:19:20.326000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,,,,,,,,,,,,,
2019-08-28 14:04:21.681000,YYYY-MM-DD HH24:MI:SS.FF,univ03,,,,,,,,,,,,,,,
2019-08-29 20:00:49.706000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,,,,,,,,,,,,,
2019-09-11 11:52:37.404000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,,,,,,,,,,,,
2019-09-11 11:52:37.406000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,,,,,,,,,,,,
2019-09-11 11:29:39.155000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,,,,,,,,,,,,
2019-09-11 11:29:39.155000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,,,,,,,,,,,,
2019-09-11 11:52:37.402000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,,,,,,,,,,,,
2019-09-11 11:52:37.399000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,,,,,,,,,,,,
2019-09-11 13:52:28.424000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,,,,,,,,,,,,
2019-09-11 13:52:28.408000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,,,,,,,,,,,,
2019-09-16 14:54:33.463000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,,,,,,,,,,
2019-09-16 14:54:33.469000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,,,,,,,,,,
2019-09-16 14:54:33.472000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,,,,,,,,,,
2019-09-16 14:54:33.475000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,,,,,,,,,,
2019-09-16 14:54:33.478000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,,,,,,,,,,
2019-09-16 14:54:33.481000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,,,,,,,,,,
2019-09-16 14:54:33.484000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,,,,,,,,,,
2019-09-16 14:54:33.487000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,,,,,,,,,,
2019-09-16 14:54:33.496000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,,,,,,,,,,
2019-09-16 14:54:33.496000,YYYY-MM-DD HH24:MI:SS.FF,univ00,,,,,,,,,,,,,,,
2019-09-16 17:01:37.870000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,,,,,,,,,,
2019-09-16 17:01:37.876000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,,,,,,,,,,
2019-09-16 17:01:37.873000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,,,,,,,,,,
2019-09-16 16:54:35.327000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,,,,,,,,,,
2019-09-16 16:54:35.336000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,,,,,,,,,,
2019-09-16 16:54:35.336000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,,,,,,,,,,
2019-09-16 17:04:50.406000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,,,,,,,,,,
2019-09-16 17:04:12.370000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,,,,,,,,,,
2019-09-16 17:04:50.408000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,,,,,,,,,,
2019-09-17 10:31:15.586000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,,,,,,,,,,,,
2019-09-17 10:31:15.590000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,,,,,,,,,,,,
2019-09-17 10:10:22.341000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,,,,,,,,,,,,
2019-09-17 10:10:22.341000,YYYY-MM-DD HH24:MI:SS.FF,univ32,,,,,,,,,,,,,,,
